project,company_name,activity_months,commit_weight,months_pct,engagement_score,company_type,commit_access,sponsor
01org,Intel,1,3,0.2,0.26,public,closed,Intel
01org,Intel,1,3,0.2,0.26,NA,closed,Intel
01org,NA,1,3,0.2,0.26,NA,closed,Intel
01org,NA,1,3,0.2,0.26,no domain record,closed,Intel
alexa,Amazon.com,6,1,1,1.02,public,closed,Amazon.com
alexa,Amazon.com,6,1,1,1.02,NA,closed,Amazon.com
alexa,NA,6,1,1,1.02,NA,closed,Amazon.com
alexa,NA,6,1,1,1.02,no domain record,closed,Amazon.com
amzn,Amazon.com,6,0,1,1,public,closed,Amazon.com
amzn,Amazon.com,6,0,1,1,NA,closed,Amazon.com
amzn,NA,6,0,1,1,NA,closed,Amazon.com
amzn,NA,6,0,1,1,no domain record,closed,Amazon.com
apple,Apple,6,0,1,1,public,closed,Apple
apple,Apple,6,0,1,1,NA,closed,Apple
apple,BCG Digital Ventures,1,1,0.2,0.22,private,closed,Apple
apple,Google Email,2,1,0.3,0.32,personal,closed,Apple
apple,hello,1,1,0.2,0.22,private,closed,Apple
apple,Hover Camera,1,1,0.2,0.22,private,closed,Apple
apple,Mapbox,1,2,0.2,0.24000000000000002,private,closed,Apple
apple,NA,6,0,1,1,NA,closed,Apple
apple,NA,6,0,1,1,no domain record,closed,Apple
aspnet,Microsoft,6,0,1,1,public,closed,Microsoft
aspnet,Microsoft,6,0,1,1,NA,closed,Microsoft
aspnet,NA,6,0,1,1,NA,closed,Microsoft
aspnet,NA,6,0,1,1,no domain record,closed,Microsoft
att,AT&T,6,1,1,1.02,NA,closed,AT&T
att,NA,6,1,1,1.02,NA,closed,AT&T
att,NA,6,1,1,1.02,no domain record,closed,AT&T
aws,Amazon.com,6,1,1,1.02,public,closed,Amazon.com
aws,Amazon.com,6,1,1,1.02,NA,closed,Amazon.com
aws,"FreakOut Inc.,",2,0,0.3,0.3,private,closed,Amazon.com
aws,GitHub,5,3,0.8,0.8600000000000001,github,closed,Amazon.com
aws,Google Email,5,1,0.8,0.8200000000000001,personal,closed,Amazon.com
aws,Hudl,2,1,0.3,0.32,private,closed,Amazon.com
aws,NA,6,1,1,1.02,NA,closed,Amazon.com
aws,NA,6,1,1,1.02,no domain record,closed,Amazon.com
awslabs,Amazon.com,6,2,1,1.04,public,closed,Amazon.com
awslabs,Amazon.com,6,2,1,1.04,NA,closed,Amazon.com
awslabs,NA,6,2,1,1.04,NA,closed,Amazon.com
awslabs,NA,6,2,1,1.04,no domain record,closed,Amazon.com
azure,Microsoft,6,2,1,1.04,public,closed,Microsoft
azure,Microsoft,6,2,1,1.04,NA,closed,Microsoft
azure,NA,6,2,1,1.04,NA,closed,Microsoft
azure,NA,6,2,1,1.04,no domain record,closed,Microsoft
azure-samples,Microsoft,5,2,0.8,0.8400000000000001,public,closed,Microsoft
azure-samples,Microsoft,5,2,0.8,0.8400000000000001,NA,closed,Microsoft
azure-samples,NA,5,2,0.8,0.8400000000000001,NA,closed,Microsoft
azure-samples,NA,5,2,0.8,0.8400000000000001,no domain record,closed,Microsoft
baidu,Baidu,6,1,1,1.02,public,closed,Baidu
baidu,Baidu,6,1,1,1.02,NA,closed,Baidu
baidu,NA,6,1,1,1.02,NA,closed,Baidu
baidu,NA,6,1,1,1.02,no domain record,closed,Baidu
baidu-aip,Baidu,6,0,1,1,public,closed,Baidu
baidu-aip,Baidu,6,0,1,1,NA,closed,Baidu
baidu-aip,NA,6,0,1,1,NA,closed,Baidu
baidu-aip,NA,6,0,1,1,no domain record,closed,Baidu
baidu-research,Baidu,4,2,0.7,0.74,public,closed,Baidu
baidu-research,Baidu,4,2,0.7,0.74,NA,closed,Baidu
baidu-research,NA,4,2,0.7,0.74,NA,closed,Baidu
baidu-research,NA,4,2,0.7,0.74,no domain record,closed,Baidu
caffe2,CK-Telecom,2,1,0.3,0.32,private,open,NA
caffe2,Duke University,1,1,0.2,0.22,education,open,NA
caffe2,Facebook,5,1,0.8,0.8200000000000001,public,open,NA
caffe2,Facebook,5,1,0.8,0.8200000000000001,NA,open,NA
caffe2,Facebook Email,2,1,0.3,0.32,personal,open,NA
caffe2,GitHub,5,5,0.8,0.9,github,open,NA
caffe2,Google Email,5,5,0.8,0.9,personal,open,NA
caffe2,Hasso Plattner Institute,1,0,0.2,0.2,private,open,NA
caffe2,Instagram,1,0,0.2,0.2,private,open,NA
caffe2,Iowa State University,1,0,0.2,0.2,education,open,NA
caffe2,Massachusetts Institute of Technology,1,0,0.2,0.2,education,open,NA
caffe2,Microsoft,1,0,0.2,0.2,public,open,NA
caffe2,Microsoft,1,0,0.2,0.2,NA,open,NA
caffe2,Outlook.com Email,2,1,0.3,0.32,personal,open,NA
caffe2,Peter Goldsborough,3,0,0.5,0.5,private,open,NA
caffe2,ProtonMail Email,1,1,0.2,0.22,personal,open,NA
caffe2,PyTorch,4,3,0.7,0.76,nonprofit,open,NA
caffe2,QQ Email,2,0,0.3,0.3,personal,open,NA
caffe2,Rensselaer Polytechnic Institute,1,0,0.2,0.2,education,open,NA
caffe2,Samsung,1,1,0.2,0.22,public,open,NA
caffe2,Samsung,1,1,0.2,0.22,NA,open,NA
caffe2,TU München,2,1,0.3,0.32,education,open,NA
caffe2,University of South Florida,1,0,0.2,0.2,education,open,NA
caffe2,UT Austin,1,0,0.2,0.2,education,open,NA
caffe2,Yahoo Email,1,0,0.2,0.2,personal,open,NA
caffe2,NA,4,1,0.7,0.72,NA,open,NA
caffe2,NA,4,1,0.7,0.72,no domain record,open,NA
chainer,Foxmail,1,1,0.2,0.22,private,open,NA
chainer,GitHub,5,2,0.8,0.8400000000000001,github,open,NA
chainer,Google Email,5,5,0.8,0.9,personal,open,NA
chainer,Intel,5,3,0.8,0.8600000000000001,public,open,NA
chainer,Intel,5,3,0.8,0.8600000000000001,NA,open,NA
chainer,Microsoft,1,1,0.2,0.22,public,open,NA
chainer,Microsoft,1,1,0.2,0.22,NA,open,NA
chainer,NVIDIA,5,3,0.8,0.8600000000000001,public,open,NA
chainer,NVIDIA,5,3,0.8,0.8600000000000001,NA,open,NA
chainer,Outlook.com Email,5,3,0.8,0.8600000000000001,personal,open,NA
chainer,Preferred Infrastructure,5,5,0.8,0.9,private,open,NA
chainer,Preferred Networks,1,1,0.2,0.22,private,open,NA
chainer,Tohoku University,1,1,0.2,0.22,education,open,NA
chainer,Toshiba,1,1,0.2,0.22,public,open,NA
chainer,Universität Potsdam,1,1,0.2,0.22,education,open,NA
chainer,University of Tokyo,3,2,0.5,0.54,education,open,NA
chainer,Zalando,2,0,0.3,0.3,public,open,NA
chainer,NA,5,1,0.8,0.8200000000000001,NA,open,NA
chainer,NA,5,1,0.8,0.8200000000000001,no domain record,open,NA
cisco,Cisco,6,1,1,1.02,NA,closed,Cisco
cisco,NA,6,1,1,1.02,NA,closed,Cisco
cisco,NA,6,1,1,1.02,no domain record,closed,Cisco
ciscodevnet,Cisco,6,1,1,1.02,NA,closed,Cisco
ciscodevnet,NA,6,1,1,1.02,NA,closed,Cisco
ciscodevnet,NA,6,1,1,1.02,no domain record,closed,Cisco
deeplearning4j,Apache Software Foundation,2,0,0.3,0.3,nonprofit,open,NA
deeplearning4j,Bloomberg,3,1,0.5,0.52,private,open,NA
deeplearning4j,CA Technologies,1,0,0.2,0.2,public,open,NA
deeplearning4j,Deeplearning4j,5,2,0.8,0.8400000000000001,private,open,NA
deeplearning4j,GitHub,5,4,0.8,0.88,github,open,NA
deeplearning4j,GMX Email,1,0,0.2,0.2,personal,open,NA
deeplearning4j,Google Email,5,6,0.8,0.92,personal,open,NA
