project,repo,company_name,activity_months,commit_weight,months_pct,engagement_score,company_type,repo_short,sponsor,commit_access,activity_scope
01org,01org/murphy,Intel,1,3,0.2,26,public,murphy,Intel,closed,internal
alexa,alexa/alexa-avs-sample-app,Amazon.com,1,0,0.2,20,public,alexa-avs-sample-app,Amazon.com,closed,internal
alexa,alexa/alexa-avs-sample-app,GitHub,1,1,0.2,22,github,alexa-avs-sample-app,Amazon.com,closed,unknown
alexa,alexa/alexa-cookbook,GitHub,1,3,0.2,26,github,alexa-cookbook,Amazon.com,closed,unknown
alexa,alexa/alexa-cookbook,Google Email,1,1,0.2,22,personal,alexa-cookbook,Amazon.com,closed,unknown
alexa,alexa/alexa-skills-kit-sdk-for-java,Amazon.com,2,1,0.3,32,public,alexa-skills-kit-sdk-for-java,Amazon.com,closed,internal
alexa,alexa/alexa-skills-kit-sdk-for-java,GitHub,2,2,0.3,34,github,alexa-skills-kit-sdk-for-java,Amazon.com,closed,unknown
alexa,alexa/alexa-skills-kit-sdk-for-nodejs,Amazon.com,3,1,0.5,52,public,alexa-skills-kit-sdk-for-nodejs,Amazon.com,closed,internal
alexa,alexa/alexa-skills-kit-sdk-for-nodejs,GitHub,2,2,0.3,34,github,alexa-skills-kit-sdk-for-nodejs,Amazon.com,closed,unknown
alexa,alexa/alexa-skills-kit-sdk-for-nodejs,Google Email,3,1,0.5,52,personal,alexa-skills-kit-sdk-for-nodejs,Amazon.com,closed,unknown
alexa,alexa/alexa-smarthome,GitHub,3,1,0.5,52,github,alexa-smarthome,Amazon.com,closed,unknown
alexa,alexa/avs-device-sdk,Amazon.com,5,1,0.8,82,public,avs-device-sdk,Amazon.com,closed,internal
alexa,alexa/avs-device-sdk,GitHub,3,1,0.5,52,github,avs-device-sdk,Amazon.com,closed,unknown
alexa,alexa/skill-sample-csharp-fact,GitHub,2,0,0.3,30,github,skill-sample-csharp-fact,Amazon.com,closed,unknown
alexa,alexa/skill-sample-csharp-fact,Google Email,2,0,0.3,30,personal,skill-sample-csharp-fact,Amazon.com,closed,unknown
alexa,alexa/skill-sample-csharp-quiz-game,GitHub,1,1,0.2,22,github,skill-sample-csharp-quiz-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-csharp-quiz-game,Google Email,2,0,0.3,30,personal,skill-sample-csharp-quiz-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-csharp-trivia,GitHub,1,1,0.2,22,github,skill-sample-csharp-trivia,Amazon.com,closed,unknown
alexa,alexa/skill-sample-csharp-trivia,Google Email,1,0,0.2,20,personal,skill-sample-csharp-trivia,Amazon.com,closed,unknown
alexa,alexa/skill-sample-node-device-address-api,Amazon.com,1,0,0.2,20,public,skill-sample-node-device-address-api,Amazon.com,closed,internal
alexa,alexa/skill-sample-node-device-address-api,GitHub,2,0,0.3,30,github,skill-sample-node-device-address-api,Amazon.com,closed,unknown
alexa,alexa/skill-sample-node-device-address-api,Google Email,1,0,0.2,20,personal,skill-sample-node-device-address-api,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-adventure-game,GitHub,3,0,0.5,50,github,skill-sample-nodejs-adventure-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-adventure-game,Google Email,2,1,0.3,32,personal,skill-sample-nodejs-adventure-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-audio-player,Amazon.com,3,2,0.5,54,public,skill-sample-nodejs-audio-player,Amazon.com,closed,internal
alexa,alexa/skill-sample-nodejs-audio-player,GitHub,1,1,0.2,22,github,skill-sample-nodejs-audio-player,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-calendar-reader,GitHub,2,1,0.3,32,github,skill-sample-nodejs-calendar-reader,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-calendar-reader,Google Email,2,2,0.3,34,personal,skill-sample-nodejs-calendar-reader,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-city-guide,Amazon.com,1,0,0.2,20,public,skill-sample-nodejs-city-guide,Amazon.com,closed,internal
alexa,alexa/skill-sample-nodejs-city-guide,GitHub,2,3,0.3,36,github,skill-sample-nodejs-city-guide,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-city-guide,Google Email,2,1,0.3,32,personal,skill-sample-nodejs-city-guide,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-decision-tree,Amazon.com,2,0,0.3,30,public,skill-sample-nodejs-decision-tree,Amazon.com,closed,internal
